"file","text","voicevox_text"
"common-001.wav","自己紹介をしてください。","自己紹介をしてください。"
"common-002.wav","あなたの国について、少し話してください。","あなたの国について、少し話してください。"
"common-003.wav","あなたの長所は何ですか。","あなたの長所はなんですか。"
"common-004.wav","休みの日は何をしますか。","休みの日はなにをしますか。"
"common-005.wav","日本に来てから、何が変わりましたか。","にほんに来てから、なにが変わりましたか。"
"common-006.wav","この専門学校を選んだ理由を教えてください。","この専門学校を選んだ理由を教えてください。"
"common-007.wav","専門学校で何を勉強したいですか。","専門学校でなにを勉強したいですか。"
"common-008.wav","どうして日本で進学したいですか。","どうしてにほんで進学したいですか。"
"common-009.wav","オープンキャンパスで何がよかったですか。","オープンキャンパスでなにがよかったですか。"
"common-010.wav","入学したら、どんなことをがんばりたいですか。","入学したら、どんなことをがんばりたいですか。"
"common-011.wav","日本語の勉強で、何が好きですか。","にほんごの勉強で、なにが好きですか。"
"common-012.wav","日本語の勉強で、何が難しいですか。","にほんごの勉強で、なにが難しいですか。"
"common-013.wav","毎日、どのように日本語を勉強していますか。","毎日、どのようににほんごを勉強していますか。"
"common-014.wav","日本語を使って、何ができるようになりましたか。","にほんごを使って、なにができるようになりましたか。"
"common-015.wav","専門学校に入るまでに、日本語をどうがんばりますか。","専門学校に入るまでに、にほんごをどうがんばりますか。"
"common-016.wav","将来、どんな仕事をしたいですか。","将来、どんな仕事をしたいですか。"
"common-017.wav","卒業したら、日本で働きたいですか。","卒業したら、にほんで働きたいですか。"
"common-018.wav","10年後、どんな人になりたいですか。","10年後、どんな人になりたいですか。"
"common-019.wav","あなたの夢は何ですか。","あなたの夢はなんですか。"
"common-020.wav","夢のために、今何をしていますか。","夢のために、今なにをしていますか。"
"common-021.wav","アルバイトで大変なことは何ですか。","アルバイトで大変なことはなんですか。"
"common-022.wav","アルバイトで学んだことは何ですか。","アルバイトで学んだことはなんですか。"
"common-023.wav","勉強とアルバイトを両立するために、何に気をつけていますか。","勉強とアルバイトを両立するために、なにに気をつけていますか。"
"common-024.wav","山口はどんなところですか。","山口はどんなところですか。"
"common-025.wav","山口に住んでみて、よかったことは何ですか。","山口に住んでみて、よかったことはなんですか。"
"common-026.wav","あなたの性格を、例を使って説明してください。","あなたの性格を、例を使って説明してください。"
"common-027.wav","これまで一番がんばったことは何ですか。","これまで一番がんばったことはなんですか。"
"common-028.wav","あなたの短所と、それを直すためにしていることを話してください。","あなたの短所と、それを直すためにしていることを話してください。"
"common-029.wav","日本での生活で成長したことは何ですか。","にほんでの生活で成長したことはなんですか。"
"common-030.wav","まわりの人から、どんな人だと言われますか。","まわりの人から、どんな人だと言われますか。"
"common-031.wav","この学校でなければならない理由は何ですか。","この学校でなければならない理由はなんですか。"
"common-032.wav","専門学校で学ぶ内容を、どのくらい調べましたか。","専門学校で学ぶ内容を、どのくらい調べましたか。"
"common-033.wav","なぜ大学ではなく、専門学校を選びましたか。","なぜ大学ではなく、専門学校を選びましたか。"
"common-034.wav","入学後、授業についていくために何をしますか。","入学後、授業についていくためになにをしますか。"
"common-035.wav","この分野に興味を持ったきっかけを教えてください。","この分野に興味を持ったきっかけを教えてください。"
"common-036.wav","日本語力を伸ばすために、どんな工夫をしていますか。","にほんご力を伸ばすために、どんな工夫をしていますか。"
"common-037.wav","専門学校の授業で日本語が難しい時、どうしますか。","専門学校の授業でにほんごが難しい時、どうしますか。"
"common-038.wav","日本語で説明する時、何に気をつけていますか。","にほんごで説明する時、なにに気をつけていますか。"
"common-039.wav","漢字や専門用語を覚えるために、どう勉強していますか。","漢字や専門用語を覚えるために、どう勉強していますか。"
"common-040.wav","面接で緊張した時、日本語で話すためにどうしますか。","面接で緊張した時、にほんごで話すためにどうしますか。"
"common-041.wav","卒業後のキャリアプランを教えてください。","卒業後のキャリアプランを教えてください。"
"common-042.wav","将来の目標のために、専門学校で何を身につけたいですか。","将来の目標のために、専門学校でなにを身につけたいですか。"
"common-043.wav","日本で働く時、大切にしたいことは何ですか。","にほんで働く時、大切にしたいことはなんですか。"
"common-044.wav","あなたの国と日本をつなぐ仕事に興味がありますか。","あなたの国とにほんをつなぐ仕事に興味がありますか。"
"common-045.wav","失敗した時、目標を続けるためにどうしますか。","失敗した時、目標を続けるためにどうしますか。"
"common-046.wav","山口とあなたの国は、どんなところが違いますか。","山口とあなたの国は、どんなところが違いますか。"
"common-047.wav","生活費を管理するために、どんなことをしていますか。","生活費を管理するために、どんなことをしていますか。"
"common-048.wav","アルバイトと勉強のバランスが悪くなった時、どうしますか。","アルバイトと勉強のバランスが悪くなった時、どうしますか。"
"common-049.wav","地域の人とよい関係を作るために、何が大切ですか。","地域の人とよい関係を作るために、なにが大切ですか。"
"common-050.wav","困ったことがあった時、だれに相談しますか。","困ったことがあった時、だれに相談しますか。"
"common-051.wav","日本の文化に興味がありますか。どんな文化に興味がありますか。","にほんの文化に興味がありますか。どんな文化に興味がありますか。"
"common-052.wav","あなたの国のどんなところがいいですか。","あなたの国のどんなところがいいですか。"
"common-053.wav","アルバイトをどうやって見つけましたか。","アルバイトをどうやって見つけましたか。"
"common-054.wav","この学校の学費はいくらか知っていますか。","この学校の学費はいくらか知っていますか。"
"common-055.wav","どんなアルバイトをしていますか。時給、週に何時間働くか、どんな仕事をしているか教えてください。","どんなアルバイトをしていますか。時給、週になんじかん働くか、どんな仕事をしているか教えてください。"
